epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,932.009,3.45755,8.80701,1.38818,0.32345,0.0942,0.07335,0.01891,3.18283,6.35316,1.33165,0.000662393,0.000662393,0.000662393
2,1906.84,2.94485,4.42005,1.21249,0.58246,0.24263,0.23504,0.07644,2.88859,4.03026,1.22813,0.00106591,0.00106591,0.00106591
3,2823.21,2.82737,3.34405,1.18326,0.50412,0.24638,0.22984,0.06386,2.77176,3.33117,1.17282,0.00120542,0.00120542,0.00120542
4,3750.02,2.66651,2.80326,1.15821,0.59732,0.3225,0.34488,0.10784,2.62579,2.75346,1.14457,0.000812,0.000812,0.000812
5,4681.29,2.57539,2.48003,1.1146,0.75372,0.37702,0.41782,0.11946,2.58435,2.39747,1.13118,0.000416,0.000416,0.000416
