epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.888,1.91654,3.17492,1.26255,0.00324,0.97059,0.03331,0.0083,1.32496,3.79274,1.05798,0.000649573,0.000649573,0.000649573
2,436.083,1.55788,1.87716,1.19367,0.00333,1,0.85486,0.42389,1.18478,3.14441,1.06503,0.00105562,0.00105562,0.00105562
3,648.469,1.56069,1.60745,1.2107,0.83854,0.94118,0.94296,0.53241,1.28377,2.01189,1.13905,0.00119768,0.00119768,0.00119768
4,865.617,1.42957,1.34328,1.16183,0.96157,0.94118,0.95609,0.6234,1.27297,1.48899,1.12377,0.000812,0.000812,0.000812
5,1079.16,1.39467,1.2218,1.13623,0.91613,0.96393,0.95371,0.64925,1.07937,1.20082,1.03465,0.000416,0.000416,0.000416
